STUDY_ID,ID_SPECIES,OrigBioTimeNames,TITLE,FoundName,rank,Notes
224,36669,Zanthoxylem americanum / Zanthoxylum americanum,Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey,Zanthoxylum americanum,SPECIES,Misspelling
355,36669,Zanthoxylem americanum / Zanthoxylum americanum,Plant Species Composition on Selected Watersheds at Konza Prairie,Zanthoxylum americanum,SPECIES,Misspelling
241,41778,Mollinedia widgrenii / Mollinedia pinchotiana,Sherman Forest Dynamics Plot Panama,Mollinedia widgrenii,SPECIES,"Diferent ranges, both accepted"
342,41778,Mollinedia widgrenii / Mollinedia pinchotiana,Brazil Dataset 2,Mollinedia pinchotiana,SPECIES,
343,41778,Mollinedia widgrenii / Mollinedia pinchotiana,Brazil Dataset 3,Mollinedia pinchotiana,SPECIES,
346,43979,Aspidosperma tomentosum / Aspidosperma desmanthum,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,Aspidosperma tomentosum,SPECIES,
60,43979,Aspidosperma tomentosum / Aspidosperma desmanthum,Forest Census Plot on Barro Colorado Island,Aspidosperma desmanthum,SPECIES,
302,44093,Cestrum strigilatum / Cestrum schechtendahlii,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Cestrum strigilatum ,SPECIES,
60,44093,Cestrum strigilatum / Cestrum schechtendahlii,Forest Census Plot on Barro Colorado Island,Cestrum schechtendahlii,SPECIES,
302,44336,Ficus luschnathiana / Ficus matiziana,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Ficus luschnathiana,SPECIES,
60,44336,Ficus luschnathiana / Ficus matiziana,Forest Census Plot on Barro Colorado Island,Ficus matiziana  ,SPECIES,
302,44401,Handroanthus umbellatus / Handroanthus guayacan,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Handroanthus umbellatus,SPECIES,
60,44401,Handroanthus umbellatus / Handroanthus guayacan,Forest Census Plot on Barro Colorado Island,Handroanthus guayacan ,SPECIES,
346,44640,Nectandra cuspidata / Nectandra fuzzy,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,Nectandra cuspidata,SPECIES,
60,44640,Nectandra cuspidata / Nectandra fuzzy,Forest Census Plot on Barro Colorado Island,Nectandra ,GENUS,
302,44784,Piper amalago / Piper imperiale,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Piper amalago,SPECIES,
60,44784,Piper amalago / Piper imperiale,Forest Census Plot on Barro Colorado Island,Piper imperiale,SPECIES,
302,45049,Tabernaemontana catharinensis / Tabernaemontana grandiflora,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Tabernaemontana catharinensis,SPECIES,Grandifolia listed as Doubtful on GBIF
346,45049,Tabernaemontana catharinensis / Tabernaemontana grandiflora,Monitoring experiences at the Atlantic rainforest biome using permanent plots.,Tabernaemontana catharinensis,SPECIES,Grandifolia listed as Doubtful on GBIF
60,45049,Tabernaemontana catharinensis / Tabernaemontana grandiflora,Forest Census Plot on Barro Colorado Island,Tabernaemontana catharinensis,SPECIES,Grandifolia listed as Doubtful on GBIF
302,45084,Trema micrantha / Trema unidentified,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Trema micrantha,SPECIES,
60,45084,Trema micrantha / Trema unidentified,Forest Census Plot on Barro Colorado Island,Trema,GENUS,
